Matchup,seed_A,team_a,seed_B,team_b
1,1,duke,16,siena
2,8,ohio-state,9,texas-christian
3,5,st-johns-ny,12,northern-iowa
4,4,kansas,13,california-baptist
5,6,louisville,11,south-florida
6,3,michigan-state,14,north-dakota-state
7,7,ucla,10,central-florida
8,2,connecticut,15,furman
1,1,michigan,16,howard
2,8,georgia,9,saint-louis
3,5,texas-tech,12,akron
4,4,alabama,13,hofstra
5,6,tennessee,11,southern-methodist
6,3,virginia,14,wright-state
7,7,kentucky,10,santa-clara
8,2,iowa-state,15,tennessee-state
1,1,florida,16,prairie-view
2,8,clemson,9,iowa
3,5,vanderbilt,12,mcneese-state
4,4,nebraska,13,troy
5,6,north-carolina,11,virginia-commonwealth
6,3,illinois,14,pennsylvania
7,7,saint-marys-ca,10,texas-am
8,2,houston,15,idaho
1,1,arizona,16,long-island-university
2,8,villanova,9,utah-state
3,5,wisconsin,12,high-point
4,4,arkansas,13,hawaii
5,6,brigham-young,11,texas
6,3,gonzaga,14,kennesaw-state
7,7,miami-fl,10,missouri
8,2,purdue,15,queens-nc
1,1,duke,8,ohio-state
2,5,st-johns-ny,4,kansas
3,6,louisville,3,michigan-state
4,7,ucla,2,connecticut
1,1,duke,4,kansas
2,3,michigan-state,2,connecticut
1,1,duke,3,michigan-state
1,1,florida,9,iowa
2,5,vanderbilt,4,nebraska
3,6,north-carolina,3,illinois
4,10,texas-am,2,houston
1,1,florida,5,vanderbilt
2,3,illinois,2,houston
1,1,florida,3,illinois
1,1,arizona,9,utah-state
2,5,wisconsin,4,arkansas
3,11,texas,3,gonzaga
4,7,miami-fl,2,purdue
1,1,arizona,4,arkansas
2,3,gonzaga,2,purdue
1,1,arizona,2,purdue
1,1,michigan,8,georgia
2,5,texas-tech,4,alabama
3,6,tennessee,3,virginia
4,7,kentucky,2,iowa-state
1,1,michigan,4,alabama
2,6,tennessee,2,iowa-state
1,1,michigan,2,iowa-state
1,1,duke,3,illinois
2,2,purdue,1,michigan
1,1,duke,1,michigan